parcel_num,parcel_nam,waterbody,src,longitude,latitude,sh_id,sh_name,class_no,uid,rainfall,days,rain_in,season
L-557,DERRICKS, ,AUZ,-83.094844602500004,29.212578189199998,30,Cedar Key,3001,7bc63a8,Emerg Cond/  3 days > 10.5"" Cedar Key Forestry,3,10.5,1/1-12/31
L-558,DERRICKS, ,AUZ,-83.094746052600001,29.212035082500002,30,Cedar Key,3001,7bc63a8,Emerg Cond/  3 days > 10.5"" Cedar Key Forestry,3,10.5,1/1-12/31
L-559,DERRICKS, ,AUZ,-83.094647492199996,29.211491989300001,30,Cedar Key,3001,7bc63a8,Emerg Cond/  3 days > 10.5"" Cedar Key Forestry,3,10.5,1/1-12/31
L-560,DERRICKS, ,AUZ,-83.094548947299998,29.210948883600000,30,Cedar Key,3001,7bc63a8,Emerg Cond/  3 days > 10.5"" Cedar Key Forestry,3,10.5,1/1-12/31
L-561,DERRICKS, ,AUZ,-83.094450400400007,29.210405772500000,30,Cedar Key,3001,7bc63a8,Emerg Cond/  3 days > 10.5"" Cedar Key Forestry,3,10.5,1/1-12/31
L-562,DERRICKS, ,AUZ,-83.094351869899995,29.209862666900001,30,Cedar Key,3001,7bc63a8,Emerg Cond/  3 days > 10.5"" Cedar Key Forestry,3,10.5,1/1-12/31
L-563,DERRICKS, ,AUZ,-83.094253396900001,29.209319580599999,30,Cedar Key,3001,7bc63a8,Emerg Cond/  3 days > 10.5"" Cedar Key Forestry,3,10.5,1/1-12/31
L-564,DERRICKS, ,AUZ,-83.094154857000007,29.208776475000001,30,Cedar Key,3001,7bc63a8,Emerg Cond/  3 days > 10.5"" Cedar Key Forestry,3,10.5,1/1-12/31
L-565,DERRICKS, ,AUZ,-83.094056242099995,29.208233352600001,30,Cedar Key,3001,7bc63a8,Emerg Cond/  3 days > 10.5"" Cedar Key Forestry,3,10.5,1/1-12/31
L-566,DERRICKS, ,AUZ,-83.093957705199998,29.207690248799999,30,Cedar Key,3001,7bc63a8,Emerg Cond/  3 days > 10.5"" Cedar Key Forestry,3,10.5,1/1-12/31
L-567,DERRICKS, ,AUZ,-83.093859148600004,29.207147155700000,30,Cedar Key,3001,7bc63a8,Emerg Cond/  3 days > 10.5"" Cedar Key Forestry,3,10.5,1/1-12/31
L-568,DERRICKS, ,AUZ,-83.093760611700006,29.206604051900001,30,Cedar Key,3001,7bc63a8,Emerg Cond/  3 days > 10.5"" Cedar Key Forestry,3,10.5,1/1-12/31
L-569,DERRICKS, ,AUZ,-83.093662073800004,29.206060937299998,30,Cedar Key,3001,7bc63a8,Emerg Cond/  3 days > 10.5"" Cedar Key Forestry,3,10.5,1/1-12/31
L-570,DERRICKS, ,AUZ,-83.093563544999995,29.205517830900000,30,Cedar Key,3001,7bc63a8,Emerg Cond/  3 days > 10.5"" Cedar Key Forestry,3,10.5,1/1-12/31
L-571,DERRICKS, ,AUZ,-83.093465011099994,29.204974729800000,30,Cedar Key,3001,7bc63a8,Emerg Cond/  3 days > 10.5"" Cedar Key Forestry,3,10.5,1/1-12/31
L-572,DERRICKS, ,AUZ,-83.093366378300004,29.204431616499999,30,Cedar Key,3001,7bc63a8,Emerg Cond/  3 days > 10.5"" Cedar Key Forestry,3,10.5,1/1-12/31
L-526,DERRICKS, ,AUZ,-83.093677477200004,29.216639251299998,30,Cedar Key,3001,7bc63a8,Emerg Cond/  3 days > 10.5"" Cedar Key Forestry,3,10.5,1/1-12/31
L-527,DERRICKS, ,AUZ,-83.093578667499997,29.216096173899999,30,Cedar Key,3001,7bc63a8,Emerg Cond/  3 days > 10.5"" Cedar Key Forestry,3,10.5,1/1-12/31
L-528,DERRICKS, ,AUZ,-83.093480106200005,29.215553078399999,30,Cedar Key,3001,7bc63a8,Emerg Cond/  3 days > 10.5"" Cedar Key Forestry,3,10.5,1/1-12/31
L-529,DERRICKS, ,AUZ,-83.093381564500007,29.215009973899999,30,Cedar Key,3001,7bc63a8,Emerg Cond/  3 days > 10.5"" Cedar Key Forestry,3,10.5,1/1-12/31
L-530,DERRICKS, ,AUZ,-83.093283019799998,29.214466863199998,30,Cedar Key,3001,7bc63a8,Emerg Cond/  3 days > 10.5"" Cedar Key Forestry,3,10.5,1/1-12/31
L-531,DERRICKS, ,AUZ,-83.093185216400002,29.213923800400000,30,Cedar Key,3001,7bc63a8,Emerg Cond/  3 days > 10.5"" Cedar Key Forestry,3,10.5,1/1-12/31
L-532,DERRICKS, ,AUZ,-83.093085928899995,29.213380662399999,30,Cedar Key,3001,7bc63a8,Emerg Cond/  3 days > 10.5"" Cedar Key Forestry,3,10.5,1/1-12/31
L-533,DERRICKS, ,AUZ,-83.092987394299996,29.212837558899999,30,Cedar Key,3001,7bc63a8,Emerg Cond/  3 days > 10.5"" Cedar Key Forestry,3,10.5,1/1-12/31
L-534,DERRICKS, ,AUZ,-83.092888860700000,29.212294449200002,30,Cedar Key,3001,7bc63a8,Emerg Cond/  3 days > 10.5"" Cedar Key Forestry,3,10.5,1/1-12/31
L-535,DERRICKS, ,AUZ,-83.092790327100005,29.211751337599999,30,Cedar Key,3001,7bc63a8,Emerg Cond/  3 days > 10.5"" Cedar Key Forestry,3,10.5,1/1-12/31
L-536,DERRICKS, ,AUZ,-83.092691775800006,29.211208242200001,30,Cedar Key,3001,7bc63a8,Emerg Cond/  3 days > 10.5"" Cedar Key Forestry,3,10.5,1/1-12/31
L-537,DERRICKS, ,AUZ,-83.092593241100005,29.210665133399999,30,Cedar Key,3001,7bc63a8,Emerg Cond/  3 days > 10.5"" Cedar Key Forestry,3,10.5,1/1-12/31
L-538,DERRICKS, ,AUZ,-83.092494704200007,29.210122023600000,30,Cedar Key,3001,7bc63a8,Emerg Cond/  3 days > 10.5"" Cedar Key Forestry,3,10.5,1/1-12/31
L-539,DERRICKS, ,AUZ,-83.092396174599997,29.209578916700000,30,Cedar Key,3001,7bc63a8,Emerg Cond/  3 days > 10.5"" Cedar Key Forestry,3,10.5,1/1-12/31
L-540,DERRICKS, ,AUZ,-83.092297638600002,29.209035818699999,30,Cedar Key,3001,7bc63a8,Emerg Cond/  3 days > 10.5"" Cedar Key Forestry,3,10.5,1/1-12/31
L-541,DERRICKS, ,AUZ,-83.092199101700004,29.208492706200001,30,Cedar Key,3001,7bc63a8,Emerg Cond/  3 days > 10.5"" Cedar Key Forestry,3,10.5,1/1-12/31
L-542,DERRICKS, ,AUZ,-83.092100576000007,29.207949602900001,30,Cedar Key,3001,7bc63a8,Emerg Cond/  3 days > 10.5"" Cedar Key Forestry,3,10.5,1/1-12/31
L-543,DERRICKS, ,AUZ,-83.092002054399998,29.207406492400001,30,Cedar Key,3001,7bc63a8,Emerg Cond/  3 days > 10.5"" Cedar Key Forestry,3,10.5,1/1-12/31
L-544,DERRICKS, ,AUZ,-83.091903533899995,29.206863378300000,30,Cedar Key,3001,7bc63a8,Emerg Cond/  3 days > 10.5"" Cedar Key Forestry,3,10.5,1/1-12/31
L-545,DERRICKS, ,AUZ,-83.091804988500002,29.206320281200000,30,Cedar Key,3001,7bc63a8,Emerg Cond/  3 days > 10.5"" Cedar Key Forestry,3,10.5,1/1-12/31
L-546,DERRICKS, ,AUZ,-83.091706462600001,29.205777177000002,30,Cedar Key,3001,7bc63a8,Emerg Cond/  3 days > 10.5"" Cedar Key Forestry,3,10.5,1/1-12/31
L-547,DERRICKS, ,AUZ,-83.091607933800006,29.205234060199999,30,Cedar Key,3001,7bc63a8,Emerg Cond/  3 days > 10.5"" Cedar Key Forestry,3,10.5,1/1-12/31
L-548,DERRICKS, ,AUZ,-83.091509417200001,29.204690953299998,30,Cedar Key,3001,7bc63a8,Emerg Cond/  3 days > 10.5"" Cedar Key Forestry,3,10.5,1/1-12/31
L-502,DERRICKS, ,AUZ,-83.091819929099998,29.216898634800000,30,Cedar Key,3001,7bc63a8,Emerg Cond/  3 days > 10.5"" Cedar Key Forestry,3,10.5,1/1-12/31
L-503,DERRICKS, ,AUZ,-83.091721400799997,29.216355525499999,30,Cedar Key,3001,7bc63a8,Emerg Cond/  3 days > 10.5"" Cedar Key Forestry,3,10.5,1/1-12/31
L-504,DERRICKS, ,AUZ,-83.091622866300000,29.215812413399998,30,Cedar Key,3001,7bc63a8,Emerg Cond/  3 days > 10.5"" Cedar Key Forestry,3,10.5,1/1-12/31
L-505,DERRICKS, ,AUZ,-83.091524316100006,29.215269318299999,30,Cedar Key,3001,7bc63a8,Emerg Cond/  3 days > 10.5"" Cedar Key Forestry,3,10.5,1/1-12/31
L-506,DERRICKS, ,AUZ,-83.091425783500000,29.214726208900000,30,Cedar Key,3001,7bc63a8,Emerg Cond/  3 days > 10.5"" Cedar Key Forestry,3,10.5,1/1-12/31
L-507,DERRICKS, ,AUZ,-83.091327247799995,29.214183099500001,30,Cedar Key,3001,7bc63a8,Emerg Cond/  3 days > 10.5"" Cedar Key Forestry,3,10.5,1/1-12/31
L-508,DERRICKS, ,AUZ,-83.091228716200007,29.213639992899999,30,Cedar Key,3001,7bc63a8,Emerg Cond/  3 days > 10.5"" Cedar Key Forestry,3,10.5,1/1-12/31
L-509,DERRICKS, ,AUZ,-83.091130183399997,29.213096892599999,30,Cedar Key,3001,7bc63a8,Emerg Cond/  3 days > 10.5"" Cedar Key Forestry,3,10.5,1/1-12/31
L-510,DERRICKS, ,AUZ,-83.091031656799998,29.212553788699999,30,Cedar Key,3001,7bc63a8,Emerg Cond/  3 days > 10.5"" Cedar Key Forestry,3,10.5,1/1-12/31
L-511,DERRICKS, ,AUZ,-83.090933126199999,29.212010673999998,30,Cedar Key,3001,7bc63a8,Emerg Cond/  3 days > 10.5"" Cedar Key Forestry,3,10.5,1/1-12/31
L-513,DERRICKS, ,AUZ,-83.090736081100005,29.210924458200001,30,Cedar Key,3001,7bc63a8,Emerg Cond/  3 days > 10.5"" Cedar Key Forestry,3,10.5,1/1-12/31
L-514,DERRICKS, ,AUZ,-83.090637540000003,29.210381351500001,30,Cedar Key,3001,7bc63a8,Emerg Cond/  3 days > 10.5"" Cedar Key Forestry,3,10.5,1/1-12/31
L-515,DERRICKS, ,AUZ,-83.090539020500003,29.209838243200000,30,Cedar Key,3001,7bc63a8,Emerg Cond/  3 days > 10.5"" Cedar Key Forestry,3,10.5,1/1-12/31
L-516,DERRICKS, ,AUZ,-83.090440493700001,29.209295133000001,30,Cedar Key,3001,7bc63a8,Emerg Cond/  3 days > 10.5"" Cedar Key Forestry,3,10.5,1/1-12/31
L-517,DERRICKS, ,AUZ,-83.090341973099996,29.208752019300000,30,Cedar Key,3001,7bc63a8,Emerg Cond/  3 days > 10.5"" Cedar Key Forestry,3,10.5,1/1-12/31
L-518,DERRICKS, ,AUZ,-83.090243440999998,29.208208926299999,30,Cedar Key,3001,7bc63a8,Emerg Cond/  3 days > 10.5"" Cedar Key Forestry,3,10.5,1/1-12/31
L-519,DERRICKS, ,AUZ,-83.090144932699999,29.207665812700000,30,Cedar Key,3001,7bc63a8,Emerg Cond/  3 days > 10.5"" Cedar Key Forestry,3,10.5,1/1-12/31
L-520,DERRICKS, ,AUZ,-83.090046407900005,29.207122700799999,30,Cedar Key,3001,7bc63a8,Emerg Cond/  3 days > 10.5"" Cedar Key Forestry,3,10.5,1/1-12/31
