lease_id,day,prob_1d_perc,prob_2d_perc,prob_3d_perc
1911445,2020-08-03,0,0,0
1911437,2020-08-03,0,0,0
1911452,2020-08-03,0,0,0
561,2020-08-03,0,0,0
1918069,2020-08-03,0,0,0
1930916,2020-08-03,0,0,0
1930924,2020-08-03,0,0,0
87-80,2020-08-03,0,0,0
1931344,2020-08-03,0,0,0
1934553,2020-08-03,0,0,0
8818,2020-08-03,0,0,0
1934744,2020-08-03,0,0,0
9003,2020-08-03,0,0,0
1934801,2020-08-03,0,0,0
1934876,2020-08-03,0,0,0
1934884,2020-08-03,0,0,0
1934900,2020-08-03,0,0,0
1934918,2020-08-03,0,0,0
1935162,2020-08-03,0,0,0
1935170,2020-08-03,0,0,0
1937275,2020-08-03,0,0,0
1911528,2020-08-03,0,0,0
1911536,2020-08-03,0,0,0
1911494,2020-08-03,0,0,0
1911502,2020-08-03,0,0,0
1930858,2020-08-03,0,0,0
1935113,2020-08-03,0,0,0
1960558,2020-08-03,0,0,0
1960566,2020-08-03,0,0,0
1946284,2020-08-03,0,0,0
1946292,2020-08-03,0,0,0
1948082,2020-08-03,0,0,0
1948108,2020-08-03,0,0,0
1947084,2020-08-03,0,0,0
1961911,2020-08-03,0,0,0
1961929,2020-08-03,0,0,0
1946474,2020-08-03,0,0,0
1951300,2020-08-03,0,0,0
1886621,2020-08-03,0,0,0
1946003,2020-08-03,0,0,0
1946011,2020-08-03,0,0,0
1948637,2020-08-03,0,0,0
1948645,2020-08-03,0,0,0
1951334,2020-08-03,1,0,0
1951342,2020-08-03,1,0,0
1946383,2020-08-03,0,0,0
1946391,2020-08-03,0,0,0
1946656,2020-08-03,1,0,0
9112,2020-08-03,0,0,0
1961903,2020-08-03,0,0,0
1977362,2020-08-03,1,0,0
1977388,2020-08-03,1,0,0
1947688,2020-08-03,0,0,0
1947696,2020-08-03,0,0,0
1951391,2020-08-03,0,0,0
1951409,2020-08-03,0,0,0
1946706,2020-08-03,0,0,0
1946722,2020-08-03,0,0,0
1966936,2020-08-03,0,0,0
1935139,2020-08-03,0,0,0
1935147,2020-08-03,0,0,0
1948553,2020-08-03,0,0,0
1948561,2020-08-03,0,0,0
1948538,2020-08-03,0,0,0
1948504,2020-08-03,0,0,0
1962653,2020-08-03,0,0,0
9706A,2020-08-03,0,0,0
9706B,2020-08-03,0,0,0
1986868,2020-08-03,0,0,0
1947738,2020-08-03,0,0,0
1947753,2020-08-03,0,0,0
1962620,2020-08-03,0,0,0
9109,2020-08-03,0,0,0
1932979,2020-08-03,0,0,0
1994409,2020-08-03,0,0,0
1974328,2020-08-03,0,0,0
1974070,2020-08-03,0,0,0
1979590,2020-08-03,0,0,0
1987775,2020-08-03,0,0,0
1987825,2020-08-03,0,0,0
1988831,2020-08-03,0,0,0
1988849,2020-08-03,0,0,0
1988856,2020-08-03,0,0,0
1974773,2020-08-03,0,0,0
1974716,2020-08-03,0,0,0
1975986,2020-08-03,0,0,0
1987858,2020-08-03,0,0,0
1977867,2020-08-03,0,0,0
1966720,2020-08-03,0,0,0
1978006,2020-08-03,0,0,0
1976059,2020-08-03,0,0,0
1988716,2020-08-03,0,0,0
1983634,2020-08-03,0,0,0
1989615,2020-08-03,1,0,0
1992130,2020-08-03,0,0,0
1993526,2020-08-03,1,0,0
1993609,2020-08-03,0,0,0
1974831,2020-08-03,0,0,0
1982925,2020-08-03,0,0,0
1989342,2020-08-03,0,0,0
1979970,2020-08-03,0,0,0
1980028,2020-08-03,0,0,0
1947688 ext,2020-08-03,0,0,0
1976018,2020-08-03,0,0,0
1994508,2020-08-03,0,0,0
1994433,2020-08-03,0,0,0
1994813,2020-08-03,0,0,0
1994961,2020-08-03,0,0,0
1995026,2020-08-03,0,0,0
1994920,2020-08-03,0,0,0
