lease_id,datetime_uct,prob_1d_perc,prob_2d_perc,prob_3d_perc,flag
1259571,9/16/20,81,40,86,testing
2401,9/16/20,40,90,96,testing
2-C-89,9/16/20,85,30,58,testing
887,9/16/20,36,49,66,testing
725A,9/16/20,80,71,63,testing
877,9/16/20,26,52,97,testing
8403,9/16/20,66,34,81,testing
8402A,9/16/20,66,34,81,testing
8402B,9/16/20,66,34,81,testing
684,9/16/20,72,40,88,testing
879,9/16/20,78,32,24,testing
385,9/16/20,66,34,81,testing
885,9/16/20,45,47,39,testing
25-67,9/16/20,66,34,81,testing
186,9/16/20,39,77,78,testing
425,9/16/20,39,77,78,testing
703,9/16/20,26,52,97,testing
9610,9/16/20,55,67,68,testing
62-75,9/16/20,88,83,40,testing
414,9/16/20,66,34,81,testing
432,9/16/20,66,34,81,testing
440,9/16/20,23,85,64,testing
8501A,9/16/20,88,83,40,testing
477,9/16/20,26,52,97,testing
504,9/16/20,48,74,90,testing
570B,9/16/20,67,38,60,testing
9411,9/16/20,77,77,60,testing
334,9/16/20,39,77,78,testing
222,9/16/20,66,34,81,testing
518,9/16/20,25,90,35,testing
539,9/16/20,84,91,38,testing
64-75A,9/16/20,54,41,47,testing
64-75B,9/16/20,54,41,47,testing
1062926,9/16/20,76,82,57,testing
6-C-90,9/16/20,45,47,39,testing
749,9/16/20,66,34,81,testing
8804,9/16/20,66,34,81,testing
493,9/16/20,66,34,81,testing
9811,9/16/20,78,56,34,testing
9810,9/16/20,78,56,34,testing
797,9/16/20,72,40,88,testing
753186-B,9/16/20,84,91,38,testing
753186-A,9/16/20,84,91,38,testing
4-C-89,9/16/20,85,30,58,testing
19-C-92,9/16/20,78,32,24,testing
363,9/16/20,69,36,82,testing
791,9/16/20,80,71,63,testing
91-80,9/16/20,25,90,35,testing
614,9/16/20,66,34,81,testing
9705,9/16/20,37,29,42,testing
1062918,9/16/20,76,82,57,testing
1084359,9/16/20,85,29,96,testing
32-C-95,9/16/20,85,30,58,testing
